NAME,Rep
Berlin,0.486775178
Lunenburg,0.543167702
Sandisfield,0.479508197
Groveland,0.55830303
Barre,0.590940054
Boxborough,0.352557836
Boston,0.202883555
Williamstown,0.195142147
Rehoboth,0.600974631
New Ashford,0.372670807
Adams,0.408578431
Goshen,0.429467085
Plainfield,0.372315036
Brewster,0.440498899
Westhampton,0.446302817
Georgetown,0.53998432
Merrimac,0.518424396
Swampscott,0.374901519
Wenham,0.447941889
Halifax,0.603009515
Rockland,0.539483318
Blandford,0.642956764
Auburn,0.5244844
Ashfield,0.276190476
Webster,0.579139118
Heath,0.468409586
Dracut,0.595729148
Framingham,0.316637805
Holden,0.510052448
Oak Bluffs,0.311905543
Clinton,0.479480448
Hopedale,0.499003133
Millbury,0.566136114
Oakham,0.632601351
Spencer,0.614468085
Westborough,0.383899345
Southwick,0.65102309
Alford,0.263843648
Cheshire,0.482813326
Lanesborough,0.428734974
Sheffield,0.360453141
Foxborough,0.503866976
Burlington,0.463183065
Hudson,0.44519098
Stoneham,0.476265704
Wakefield,0.47566064
Colrain,0.450749465
Northfield,0.423449061
Warwick,0.428270042
Blackstone,0.599826952
Aquinnah,0.191637631
Hampden,0.618864293
Chesterfield,0.481770833
Clarksburg,0.430803571
Easton,0.496118669
Hawley,0.490291262
Maynard,0.366174056
West Bridgewater,0.61458086
North Brookfield,0.649942107
Norton,0.546359924
Mendon,0.573102679
Great Barrington,0.234856536
Douglas,0.642211055
Otis,0.533549784
Whitman,0.579084481
Randolph,0.252953395
Leverett,0.231481481
Westford,0.441830716
Bolton,0.434678625
Rutland,0.59135004
Harwich,0.468035464
Rockport,0.372588424
Tyringham,0.327759197
Monroe,0.576271186
Nahant,0.433557611
North Adams,0.365538357
Acushnet,0.576692525
Acton,0.290660908
Bridgewater,0.564840183
Orange,0.567103348
Townsend,0.601912046
Groton,0.42498532
Chester,0.658045977
Stockbridge,0.260536398
Gloucester,0.41297582
Chatham,0.483523584
Natick,0.332238643
Chicopee,0.497249501
Shrewsbury,0.447076587
Ware,0.5914903
Tolland,0.68338558
Peabody,0.495779187
Hadley,0.351343193
Dover,0.438180828
Rochester,0.601630751
Cummington,0.410934744
Barnstable Town,0.507012889
Rowe,0.493775934
Swansea,0.557308689
Taunton,0.494893791
Sudbury,0.323400366
Weston,0.347670251
Oxford,0.609395018
Lakeville,0.620848708
Canton,0.445102506
Wrentham,0.551440329
Hopkinton,0.426092545
Whately,0.434951456
Warren,0.625207297
Hanover,0.575695859
Charlemont,0.446258503
